cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28.0,2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14.0,2
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28.0,2
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,4
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28.0,1
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90.0,2
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7.0,1
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56.0,3
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28.0,2
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28.0,2
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28.0,3
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3.0,1
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14.0,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,2
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28.0,2
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100.0,4
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,3
336.0,0.0,0.0,182.0,3.0,986.0,817.0,28.0,4
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3.0,1
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28.0,2
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3.0,1
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7.0,2
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7.0,2
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28.0,3
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28.0,3
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28.0,4
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,5
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28.0,2
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28.0,3
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28.0,3
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,3
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28.0,2
313.0,145.0,0.0,127.14999999999998,8.0,1000.0,822.0,28.0,4
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90.0,3
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28.0,3
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14.0,1
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14.0,4
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7.0,1
