cement,water,superplastic,age,strength
141.3,203.5,0.0,28.0,2
168.9,158.3,10.8,14.0,2
250.0,187.4,5.5,28.0,2
266.0,228.0,0.0,28.0,4
154.8,193.3,9.1,28.0,1
255.0,192.0,0.0,90.0,2
166.8,203.5,0.0,7.0,1
251.4,188.5,6.4,56.0,3
296.0,192.0,0.0,28.0,2
155.0,194.0,9.0,28.0,2
151.8,167.5,18.3,28.0,3
173.0,192.0,0.0,3.0,1
385.0,186.0,0.0,14.0,2
237.5,228.0,0.0,7.0,2
167.0,185.0,7.0,28.0,2
213.8,181.7,6.7,100.0,4
237.5,228.0,0.0,28.0,3
336.0,182.0,3.0,28.0,4
190.7,162.1,7.8,3.0,1
312.7,178.1,8.0,28.0,2
229.7,195.2,6.1,3.0,1
228.0,185.7,0.0,7.0,2
236.0,192.0,0.0,7.0,2
132.0,179.0,5.0,28.0,3
331.0,192.0,0.0,28.0,3
310.0,168.0,10.0,28.0,4
304.0,228.0,0.0,90.0,4
425.0,153.5,16.5,91.0,5
166.1,176.5,4.5,28.0,2
255.0,189.0,6.0,28.0,3
339.0,197.0,0.0,28.0,3
475.0,228.0,0.0,28.0,3
145.7,181.9,3.4,28.0,2
313.0,127.14999999999998,8.0,28.0,4
331.0,192.0,0.0,90.0,3
178.0,179.9,3.6,28.0,3
165.0,163.8,0.0,14.0,1
277.2,160.7,11.2,14.0,4
325.0,184.0,0.0,7.0,1
167.0,164.0,7.9,28.0,4
194.7,170.2,7.5,14.0,2
246.8,143.3,12.0,56.0,5
382.0,185.0,0.0,28.0,3
149.0,183.0,7.0,28.0,2
531.3,141.8,25.0,91.0,5
387.0,157.0,11.6,56.0,5
193.5,185.7,0.0,7.0,1
326.0,199.0,11.0,28.0,4
337.9,174.9,9.5,28.0,4
425.0,153.5,16.5,3.0,3
200.0,190.0,0.0,28.0,4
331.0,192.0,0.0,129.5,3
218.9,158.5,11.3,56.0,3
234.0,189.0,5.9,28.0,3
309.9,167.8,22.1,28.0,3
350.0,186.0,0.0,7.0,2
182.0,170.2,8.2,100.0,4
480.0,192.0,0.0,7.0,3
295.7,171.5,8.9,14.0,3
250.0,187.4,5.5,100.0,4
178.0,179.9,3.6,3.0,2
233.8,197.9,4.6,3.0,1
194.7,165.6,7.5,100.0,3
379.5,153.9,15.9,56.0,5
332.5,228.0,0.0,129.5,4
350.0,203.0,0.0,56.0,2
237.0,232.35,6.0,28.0,2
238.1,186.7,7.0,100.0,4
295.7,171.5,8.9,100.0,5
323.7,183.8,10.3,7.0,4
200.0,192.0,0.0,3.0,1
342.0,228.0,0.0,90.0,5
388.6,157.9,12.1,3.0,2
147.8,171.2,2.2,28.0,2
290.4,168.1,9.4,56.0,4
500.0,200.0,0.0,14.0,3
284.0,179.0,5.5,7.0,2
165.0,175.1,8.1,3.0,1
218.2,140.8,11.9,3.0,2
168.9,158.3,10.8,56.0,3
190.3,161.9,9.9,28.0,2
116.0,192.0,0.0,90.0,3
277.0,191.0,0.0,90.0,3
376.0,214.6,0.0,100.0,4
236.0,194.0,0.0,14.0,1
273.0,199.0,11.0,28.0,3
500.0,140.0,4.0,28.0,5
212.5,159.3,8.7,14.0,2
362.6,164.9,11.6,3.0,3
275.1,159.5,9.9,3.0,2
139.6,192.0,0.0,7.0,1
362.6,164.9,11.6,7.0,5
182.0,170.2,8.2,14.0,2
427.5,228.0,0.0,129.5,4
183.9,203.5,0.0,3.0,1
475.0,142.0,1.9,28.0,5
362.6,164.9,11.6,28.0,5
318.8,155.7,14.3,7.0,3
252.0,194.0,8.0,28.0,3
237.5,228.0,0.0,129.5,3
149.5,175.8,12.6,28.0,3
540.0,162.0,2.5,28.0,5
313.0,178.0,8.0,28.0,3
380.0,228.0,0.0,129.5,5
251.4,192.9,5.8,3.0,1
436.0,218.0,0.0,28.0,2
155.0,193.0,9.0,28.0,1
281.0,186.0,0.0,7.0,1
151.6,184.4,7.9,28.0,1
326.5,199.0,10.8,28.0,3
397.0,167.0,20.8,28.0,5
238.0,186.0,0.0,7.0,1
158.6,175.1,15.0,28.0,2
385.0,186.0,0.0,28.0,3
302.0,203.0,0.0,14.0,1
192.0,192.0,0.0,3.0,1
155.6,180.3,10.7,28.0,3
160.0,182.0,6.4,28.0,3
222.4,189.3,4.5,56.0,2
251.8,146.1,12.4,14.0,3
331.0,192.0,0.0,7.0,1
250.0,191.8,5.3,56.0,3
155.0,193.0,9.0,28.0,2
213.5,154.6,11.7,28.0,4
446.0,162.0,11.6,56.0,5
133.0,196.0,3.0,28.0,3
122.6,203.5,0.0,90.0,3
290.2,185.7,0.0,7.0,2
323.7,183.8,10.3,28.0,5
375.0,127.14999999999998,23.4,91.0,5
181.4,169.6,7.6,28.0,2
298.2,209.7,11.1,28.0,3
236.0,193.0,0.0,7.0,1
236.0,193.0,0.0,129.5,2
339.0,197.0,0.0,3.0,1
387.0,157.0,14.3,56.0,5
166.8,203.5,0.0,90.0,4
387.0,157.0,13.9,28.0,4
133.0,192.0,0.0,3.0,1
162.0,202.0,10.0,28.0,3
262.0,195.0,5.0,28.0,3
213.7,181.7,6.9,14.0,3
332.5,228.0,0.0,90.0,3
313.3,175.5,8.6,7.0,4
302.0,203.0,0.0,129.5,2
183.9,203.5,0.0,90.0,3
500.0,200.0,0.0,7.0,3
218.2,140.8,11.9,28.0,5
387.0,157.0,11.6,28.0,4
380.0,228.0,0.0,129.5,4
213.5,159.2,11.7,14.0,2
160.0,203.0,11.0,28.0,3
322.0,203.0,0.0,129.5,2
173.5,164.8,6.5,14.0,3
252.0,186.0,0.0,7.0,1
299.8,211.5,9.9,28.0,2
531.3,141.8,25.0,28.0,5
198.6,192.0,0.0,129.5,4
116.0,192.0,0.0,28.0,2
304.0,228.0,0.0,129.5,5
331.0,192.0,0.0,28.0,3
286.3,144.7,11.2,28.0,5
349.0,192.0,0.0,7.0,1
520.0,170.0,5.2,28.0,5
252.1,193.8,8.3,28.0,3
255.5,185.7,0.0,7.0,1
446.0,162.0,11.6,28.0,4
172.4,156.8,4.1,100.0,3
190.7,162.1,7.8,56.0,3
322.0,186.0,8.0,28.0,5
446.0,162.0,11.6,28.0,5
178.0,179.9,3.6,56.0,4
212.1,180.3,5.7,3.0,1
276.0,180.0,9.0,28.0,4
393.0,192.0,0.0,90.0,4
238.1,185.7,0.0,28.0,1
230.0,195.5,4.6,3.0,1
